Team,Seed,Elimination Round,Reg Season Wins,Reg Conf Place,Conf Tourney Place,Region,Day of 1st Round Game,Preseason AP Rank,Final AP Rank,Tuition,Number of Students,PPG,PPG Rank,PPG Tourney Rank,ASM,ASM Rank,ASM Tourney Rank,Off Efficiency,Off Efficiency Rank,Off Efficiency Tourney Rank,Shooting %,Shooting % Rank,Shooting % Tourney Rank,3PS%,3PS% Rank,3PS% Tourney Rank,2PS%,2PS% Rank,2PS% Tourney Rank,FT%,FT% Rank,FT% Tourney Rank,RPG,RPG Rank,RPG Tourney Rank,TOPG,Least TOPG Rank,Least TOPG Tourney Rank,OPPG,Least OPPG Rank,Least OPPG Tourney Rank,Def Efficiency,Least Def Eff Rank,Least Def Eff Tourney Rank,OeFG%,OeFG% Rank,OeFG% Tourney Rank,DeFG%,DeFG% Rank,DeFG% Tourney Rank,OREB%,OREB% Rank,OREB% Tourney Rank,DREB%,DREB% Rank,DREB% Tourney Rank,OTOV%,OTOV% Rank,OTOV% Tourney Rank,DTOV%,DTOV% Rank,DTOV% Tourney Rank,OFTA/FGA,OFTA/FGA Rank,OFTA/FGA Tourney Rank,DFTA/FGA,DFTA/FGA Rank,DFTA/FGA Tourney Rank,FastPace,FastPace Rank,FastPace Tourney Rank,AdjO,AdjO Rank,AdjO Tourney Rank,AdjD,AdjD Rank,AdjD Tourney Rank,Net,Net Tourney Rank,SOS Net Rank,SOS Net Tourney Rank,Elo,Elo Rank,Elo Tourney Rank,Kenpom,Kenpom Rank,Kenpom Tourney Rank,Sagarin,Sagarin Rank,Sagarin Tourney Rank,10 Year Drought,Highest Seed in Program History
Connecticut,4,1,24,4,4,West,Friday,,10,"$37,698 ","27,215",78.5,21,13,13.4,5,5,1.114,10,8,0.46,70,27,0.357,91,27,0.534,56,22,0.754,47,14,39,12,4,12.9,231,57,65,36,18,0.923,14,9,0.535,44,18,0.455,11,5,0.38,1,1,0.776,31,10,0.157,169,53,0.172,93,30,0.314,179,41,0.387,321,63,70.4,159,37,119.4,6,5,94.1,18,16,8,8,42,25,1677.82,17,17,25.37,4,4,90.07,6,6,0,0
San Diego State,5,2,24,1,1,South,Thursday,19,18,"$17,622 ","36,334",71.3,163,57,7.5,40,27,1.043,105,47,0.441,182,58,0.344,160,44,0.494,220,61,0.736,118,31,35.5,108,37,11.7,102,35,63.8,26,12,0.933,26,17,0.501,206,60,0.475,46,27,0.307,62,23,0.762,69,23,0.151,103,39,0.173,83,28,0.343,92,27,0.294,130,27,68.4,257,53,111.9,64,45,91.7,10,9,14,14,48,30,1739.49,11,11,20.25,14,14,85.19,28,28,0,0
Miami (FL),5,4,24,1,4,Midwest,Friday,,16,"$53,112 ","17,809",79.4,19,12,7.3,43,30,1.123,8,6,0.486,11,8,0.368,44,17,0.549,21,10,0.776,17,4,34.6,162,47,11.3,68,25,72.1,224,59,1.02,208,64,0.55,20,12,0.513,220,59,0.302,70,27,0.734,182,45,0.142,54,23,0.159,166,46,0.3,227,49,0.241,15,6,70.7,148,31,118.2,12,11,103.3,132,53,35,35,81,43,1676.16,18,18,14.91,40,38,84.18,35,33,0,0
FAU,9,4,28,1,1,East,Friday,,25,"$14,374 ","30,805",78.2,26,16,12.9,7,7,1.107,14,12,0.468,37,17,0.372,30,10,0.543,32,14,0.718,181,41,38.3,21,11,11.5,81,29,65.3,40,19,0.925,16,11,0.55,19,11,0.459,15,7,0.289,112,36,0.773,42,15,0.145,69,29,0.162,148,42,0.295,240,52,0.267,56,14,70.6,152,34,114.3,32,27,96,36,27,13,13,152,46,1704.55,14,14,18.23,26,26,83.66,42,39,1,1
Texas,2,8,23,2,1,Midwest,Thursday,12,5,"$40,996 ","50,476",77.9,30,19,10.4,14,13,1.073,49,32,0.468,38,18,0.339,180,49,0.538,46,18,0.752,52,15,34.3,184,53,11.7,100,34,67.4,88,32,0.929,22,15,0.527,65,26,0.478,57,30,0.275,152,42,0.733,188,48,0.144,64,28,0.2,17,6,0.315,175,40,0.345,257,49,72.6,58,12,116.6,18,17,92,11,10,7,7,6,5,1762.88,8,8,24.57,6,6,90.46,5,5,0,0
Gonzaga,3,8,26,2,1,West,Friday,2,9,"$47,560 ","7,295",86.5,1,1,12.6,8,8,1.18,1,1,0.522,1,1,0.384,12,7,0.589,2,2,0.702,245,54,36.3,63,20,10.5,25,12,73.9,262,63,1.008,174,60,0.585,2,2,0.517,245,63,0.295,94,30,0.766,58,19,0.128,10,7,0.167,121,36,0.342,95,28,0.267,57,15,73.3,43,8,124,1,1,99.7,76,44,6,6,56,32,1793.34,3,3,24.31,8,8,90.47,4,4,0,0
Kansas State,3,8,23,3,8,East,Friday,,15,"$25,560 ","20,854",75.5,65,30,6.5,59,41,1.028,139,58,0.453,97,39,0.34,174,46,0.518,103,37,0.75,61,18,35.7,101,35,14.4,328,66,69,131,43,0.94,38,22,0.515,123,43,0.475,48,28,0.29,106,34,0.73,208,51,0.175,293,65,0.18,56,20,0.37,46,13,0.367,298,59,73.5,39,7,112.5,52,39,94.2,19,17,24,24,16,10,1619.14,34,32,18.31,24,24,85.34,25,25,0,0
Creighton,6,8,20,3,4,South,Friday,9,,"$42,618 ","8,770",76.6,40,23,8.2,29,22,1.08,36,25,0.467,40,19,0.36,77,23,0.545,30,13,0.767,30,8,37.2,41,16,11.6,88,30,68.5,119,39,0.965,72,34,0.543,27,14,0.473,42,25,0.244,245,55,0.781,20,7,0.148,89,34,0.127,350,67,0.281,289,58,0.198,2,2,71,134,29,114.6,28,24,94,15,13,17,17,26,17,1625.66,32,30,20.65,13,13,87.63,11,11,0,0
Alabama,1,16,26,1,1,South,Thursday,20,1,"$30,250 ","37,840",82.2,5,4,13.7,3,3,1.076,44,29,0.446,158,56,0.338,187,51,0.546,29,12,0.726,147,34,44.4,1,1,14.1,316,65,68.5,120,40,0.897,5,4,0.527,67,27,0.415,1,1,0.324,21,11,0.758,85,30,0.161,204,60,0.138,318,62,0.367,50,15,0.328,225,44,76.4,4,2,116.1,19,18,88.6,3,3,2,2,10,7,1807.76,2,2,27.54,3,3,92.23,1,1,0,1
Houston,1,16,29,1,2,Midwest,Thursday,3,2,"$20,877 ","47,090",75,76,34,18.5,1,1,1.13,5,4,0.462,63,25,0.345,153,40,0.532,61,23,0.719,175,39,38.8,14,6,9.9,13,8,56.5,2,1,0.851,1,1,0.527,70,28,0.425,3,3,0.372,3,3,0.762,72,24,0.127,9,6,0.193,23,10,0.285,273,56,0.358,286,57,66.4,333,63,118.4,11,10,89.6,4,4,1,1,92,45,1807.94,1,1,28.82,1,1,91.85,2,2,0,0
UCLA,2,16,27,1,2,West,Thursday,8,7,"$41,196 ","44,589",73.9,100,39,13.6,4,4,1.073,48,31,0.458,79,32,0.347,143,38,0.504,181,55,0.722,162,36,35.8,89,28,10.3,20,10,60.3,6,5,0.875,3,3,0.509,170,55,0.468,27,14,0.32,34,17,0.752,107,34,0.13,13,10,0.208,7,3,0.271,316,63,0.276,77,21,68.9,236,50,114.9,25,21,87.2,1,1,3,3,46,28,1785.69,4,4,27.63,2,2,91.21,3,3,0,0
